"contrast","energy","homogeneity","correlation","dissimilarity","ASM","Entrophy","class"
"31.07740319","0.04584824024","0.267364261","0.8794224041","3.932461038","0.002102061133","0.8044257111","0"
"30.1854267","0.04568945675","0.2736309278","0.888809018","3.85368926","0.002087526458","0.7992777722","0"
"53.4053569","0.03767981935","0.2277002994","0.877472098","5.094844365","0.001419768786","1.109141171","0"
"42.91474994","0.04114909439","0.2532440241","0.8934157807","4.521260424","0.001693247969","1.029973831","0"
"19.67720809","0.057331382","0.3543919118","0.9157621825","2.924713615","0.003286887362","0.7280456903","0"
"31.20539194","0.05111221124","0.3136039505","0.8914246496","3.649097634","0.002612458138","0.8927830475","0"
"44.23348345","0.04256669824","0.2635953178","0.8832691928","4.470613306","0.001811923799","1.047927135","0"
"53.1292863","0.03937456103","0.2412366901","0.8750334073","4.93404746","0.001550356056","1.148598949","0"
"42.85867583","0.04135914117","0.2564969369","0.8893296086","4.4703197","0.001710578558","1.040652024","0"
"66.19337302","0.03594022582","0.2195069245","0.8660402919","5.59607325","0.001291699832","1.250391361","0"
"69.21241008","0.03457739931","0.2126112358","0.8707116735","5.738524485","0.001195596543","1.288453434","0"
"84.97677194","0.03258197663","0.1989840378","0.8567958874","6.333300184","0.001061585201","1.405397682","0"
"56.80570354","0.03723700135","0.2314547752","0.8683244879","5.189191493","0.00138659427","1.123385235","0"
"69.07497384","0.03303583852","0.2043019804","0.8589308511","5.836437512","0.001091366627","1.215088078","0"
"122.853855","0.02570865251","0.1532809809","0.8323000594","7.945559676","0.0006609348138","1.57589731","0"
"121.1010243","0.02506342305","0.1524028025","0.8390007188","7.916634701","0.0006281751749","1.576681245","0"
"94.53063215","0.0254669013","0.161509671","0.9056285257","7.055610015","0.0006485630619","1.572171522","0"
"127.0089881","0.02039341635","0.1441863893","0.9499717666","8.142451235","0.0004158914303","1.985840343","0"
"123.3020832","0.0181516179","0.1519133074","0.9706102803","7.924566812","0.0003294812325","2.10537432","0"
"127.8739102","0.0163314115","0.1550329892","0.9754134579","7.970288918","0.0002667150017","2.212113215","0"
"115.6756548","0.01564855256","0.1658855437","0.9800088709","7.552472687","0.0002448771972","2.17669932","0"
"113.9185479","0.01505976014","0.1714034015","0.98101847","7.413753096","0.0002267963754","2.216199577","0"
"101.0842461","0.01627493081","0.1805910756","0.982032937","6.952767241","0.0002648733727","2.168873817","0"
"76.18288842","0.02010152558","0.2047542235","0.9823435934","5.996675617","0.0004040713306","1.982089917","0"
"72.46110898","0.02323787087","0.2096629096","0.975861722","5.815885058","0.0005399986428","1.899938257","0"
"61.36657716","0.02752291113","0.2287578111","0.9764878044","5.273115591","0.000757510637","1.773374016","0"
"59.34940118","0.05093832124","0.3921835606","0.983197647","3.723342189","0.002594712571","1.933835086","0"
"60.31751173","0.05051218125","0.3891393025","0.9827209911","3.753844114","0.002551480454","1.935485489","0"
